;Trip_Distance_km;Passenger_Count;Base_Fare;Per_Km_Rate;Per_Minute_Rate;Trip_Duration_Minutes;Trip_Price;Afternoon;Evening;Morning;Night;Weekday;Weekend;High;Low;Medium;Clear;Rain;Snow;Code;Cluster
794;1.89;2.0;4.6;0.74;0.41;114.1;52.77959999999999;False;False;True;False;True;False;False;True;False;False;False;False;795;0
115;43.7;3.0;4.52;1.59;0.28;114.29;106.0042;False;False;False;False;True;False;False;True;False;True;False;False;116;0
114;32.04;3.0;3.26;0.65;0.2;31.8;30.446;True;False;False;False;True;False;False;True;False;True;False;False;115;0
96;26.61;4.0;3.07;0.68;0.18;65.91;33.0286;False;False;True;False;True;False;False;True;False;False;True;False;97;0
834;25.42;4.0;2.73;1.03;0.41;49.45;49.1871;False;True;False;False;True;False;False;True;False;False;False;True;835;0
76;38.79;2.0;3.95;1.88;0.33;82.93;104.2421;True;False;False;False;True;False;False;True;False;True;False;False;77;0
82;17.21;2.0;4.48;1.61;0.1;106.78;42.8661;True;False;False;False;True;False;False;True;False;False;True;False;83;0
85;16.93;4.0;2.17;1.12;0.37;59.09;42.9949;True;False;False;False;True;False;False;True;False;False;False;True;86;0
868;43.23;2.0;3.51;0.78;0.35;96.01;70.8329;False;False;True;False;True;False;False;True;False;False;True;False;869;0
859;4.22;3.0;4.02;1.81;0.16;83.98;25.095;False;True;False;False;True;False;False;True;False;True;False;False;860;0
866;8.61;3.0;3.07;1.24;0.28;66.1;32.2544;False;False;True;False;True;False;False;True;False;True;False;False;867;0
856;2.79;1.0;3.62;1.98;0.21;101.08;30.371;False;True;False;False;True;False;False;True;False;False;False;False;857;0
890;36.39;4.0;2.26;1.47;0.34;114.15;94.5643;False;False;True;False;True;False;False;True;False;True;False;False;891;0
763;37.45;4.0;4.92;0.5;0.11;77.83;32.2063;True;False;False;False;True;False;False;True;False;True;False;False;764;0
795;43.73;4.0;4.64;1.97;0.44;108.76;138.6425;False;False;True;False;True;False;False;True;False;True;False;False;796;0
112;46.56;3.0;4.46;0.87;0.46;119.21;99.8038;False;False;True;False;True;False;False;True;False;True;False;False;113;0
105;13.22;2.0;3.79;0.68;0.37;51.92;31.99;False;False;True;False;True;False;False;True;False;False;True;False;106;0
817;20.55;3.0;3.73;1.48;0.4;47.54;53.16;False;True;False;False;True;False;False;True;False;False;False;True;818;0
667;8.87;3.0;4.96;1.19;0.37;24.8;24.6913;False;False;False;True;True;False;False;True;False;True;False;False;668;0
168;3.0;2.0;2.17;0.73;0.45;34.01;19.6645;False;False;True;False;True;False;False;True;False;True;False;False;169;0
170;34.2;1.0;4.55;1.02;0.41;113.92;86.1412;False;False;False;False;True;False;False;True;False;True;False;False;171;0
650;5.26;1.0;3.74;1.65;0.31;67.5;33.344;False;False;True;False;True;False;False;True;False;True;False;False;651;0
181;6.56;3.0;3.48;0.85;0.31;97.94;39.4174;True;False;False;False;True;False;False;True;False;True;False;False;182;0
183;43.99;2.0;2.64;0.96;0.29;74.71;66.5363;False;False;False;True;True;False;False;True;False;True;False;False;184;0
629;13.37;2.0;2.85;1.92;0.19;114.32;50.2412;True;False;False;False;True;False;False;True;False;False;True;False;630;0
630;35.95;2.0;3.13;0.92;0.41;33.13;49.78730000000001;False;True;False;False;True;False;False;True;False;True;False;False;631;0
612;31.77;4.0;4.77;1.11;0.49;67.1;72.9137;True;False;False;False;True;False;False;True;False;True;False;False;613;0
607;18.85;3.0;2.25;0.87;0.3;98.29;48.1365;False;False;False;False;True;False;False;True;False;True;False;False;608;0
603;5.35;1.0;4.72;1.42;0.12;87.36;22.8002;False;False;False;False;True;False;False;True;False;True;False;False;604;0
594;44.94;1.0;2.61;1.04;0.31;64.02;69.1938;False;True;False;False;True;False;False;True;False;True;False;False;595;0
695;30.92;4.0;2.47;1.31;0.23;15.73;46.5931;False;False;True;False;True;False;False;True;False;False;True;False;696;0
162;32.04;4.0;4.44;1.02;0.41;9.1;40.8518;False;False;False;False;True;False;False;True;False;True;False;False;163;0
154;49.3;2.0;2.38;0.86;0.4;47.72;63.866;True;False;False;False;True;False;False;True;False;True;False;False;155;0
708;13.48;3.0;3.21;1.07;0.22;96.07;38.769;True;False;False;False;True;False;False;True;False;False;True;False;709;0
679;43.41;2.0;2.96;1.25;0.14;5.66;58.0149;True;False;False;False;True;False;False;True;False;False;True;False;680;0
702;17.49;2.0;4.76;1.28;0.47;73.92;61.8896;True;False;False;False;True;False;False;True;False;True;False;False;703;0
696;15.14;3.0;2.73;0.7;0.37;89.96;46.61319999999999;False;False;True;False;True;False;False;True;False;False;True;False;697;0
732;33.59;1.0;3.66;0.57;0.42;111.71;69.7245;True;False;False;False;True;False;False;True;False;False;True;False;733;0
750;6.73;4.0;3.39;1.78;0.47;9.87;20.0083;True;False;False;False;True;False;False;True;False;True;False;False;751;0
751;47.05;4.0;2.52;1.87;0.49;77.86;128.6549;False;False;True;False;True;False;False;True;False;False;False;True;752;0
713;21.18;2.0;3.05;1.26;0.32;51.27;46.1432;True;False;False;False;True;False;False;True;False;False;True;False;714;0
746;19.81;3.0;2.5;1.5;0.19;61.26;43.8544;False;False;True;False;True;False;False;True;False;False;True;False;747;0
138;18.82;2.0;2.05;0.63;0.12;74.75;22.8766;True;False;False;False;True;False;False;True;False;False;True;False;139;0
780;35.0;2.0;4.48;1.36;0.23;53.07;64.2861;False;False;True;False;True;False;False;True;False;False;False;True;781;0
777;36.39;2.0;3.09;0.64;0.27;67.24;44.5344;True;False;False;False;True;False;False;True;False;False;False;False;778;0
194;17.61;1.0;4.26;1.34;0.47;64.68;58.257000000000005;False;False;True;False;True;False;False;True;False;True;False;False;195;0
586;4.72;1.0;4.28;1.48;0.48;50.89;35.6928;False;False;False;False;True;False;False;True;False;False;True;False;587;0
577;46.4;4.0;3.63;1.46;0.33;92.78;101.9914;True;False;False;False;True;False;False;True;False;True;False;False;578;0
615;46.12;3.0;4.11;1.86;0.21;59.7;102.4302;True;False;False;False;True;False;False;True;False;True;False;False;616;0
202;8.92;3.0;3.69;1.07;0.36;42.14;28.4048;False;False;True;False;True;False;False;True;False;True;False;False;203;0
215;12.63;3.0;2.9;1.12;0.48;102.2;66.10159999999999;False;False;True;False;True;False;False;True;False;False;False;False;216;0
199;39.21;2.0;2.88;0.94;0.21;70.94;54.6348;False;False;True;False;True;False;False;True;False;False;False;True;200;0
684;46.54;2.0;2.07;0.84;0.22;85.74;60.0264;False;False;True;False;True;False;False;True;False;False;True;False;685;0
666;13.05;1.0;3.22;1.79;0.12;103.2;38.9635;False;False;True;False;True;False;False;True;False;True;False;False;667;0
653;37.53;4.0;2.19;1.84;0.48;62.05;101.0292;True;False;False;False;True;False;False;True;False;False;True;False;654;0
686;29.01;2.0;4.36;1.39;0.2;88.77;62.4379;False;False;False;False;True;False;False;True;False;True;False;False;687;0
670;9.5;1.0;2.16;1.22;0.43;36.15;29.2945;True;False;False;False;True;False;False;True;False;True;False;False;671;0
984;36.68;4.0;2.58;1.11;0.39;108.41;85.5747;False;False;True;False;True;False;False;True;False;True;False;False;985;0
986;34.73;4.0;4.85;1.13;0.14;5.65;44.88589999999999;False;True;False;False;True;False;False;True;False;True;False;False;987;0
335;3.0;1.0;3.79;0.73;0.28;9.82;8.729600000000001;True;False;False;False;True;False;False;True;False;True;False;False;336;0
337;35.48;3.0;3.23;1.43;0.38;72.19;81.39859999999999;True;False;False;False;True;False;False;True;False;True;False;False;338;0
364;47.13;4.0;4.15;1.3;0.23;6.47;66.90710000000001;False;True;False;False;True;False;False;True;False;True;False;False;365;0
365;19.92;4.0;3.33;0.96;0.49;84.95;64.0787;False;False;True;False;True;False;False;True;False;True;False;False;366;0
370;5.94;3.0;2.63;1.25;0.44;110.47;58.6618;False;False;False;True;True;False;False;True;False;True;False;False;371;0
374;4.49;3.0;3.25;1.78;0.31;111.33;45.75449999999999;False;False;True;False;True;False;False;True;False;True;False;False;375;0
437;41.27;1.0;2.64;1.65;0.33;107.76;106.2963;False;True;False;False;True;False;False;True;False;True;False;False;438;0
411;47.55;4.0;4.78;1.97;0.27;94.35;123.928;False;False;True;False;True;False;False;True;False;True;False;False;412;0
307;16.82;4.0;4.94;1.14;0.44;93.3;65.1668;False;True;False;False;True;False;False;True;False;False;False;True;308;0
291;2.83;1.0;3.99;0.96;0.19;11.65;8.920300000000001;False;False;True;False;True;False;False;True;False;False;False;True;292;0
268;139.06223019422194;2.0;2.8;1.82;0.14;50.83;276.84059674137075;True;False;False;False;True;False;False;True;False;False;True;False;269;0
445;47.42;2.0;3.02;1.64;0.16;104.35;97.4848;False;False;True;False;True;False;False;True;False;False;True;False;446;0
403;41.5;3.0;3.13;1.47;0.42;91.88;102.72459999999998;False;True;False;False;True;False;False;True;False;True;False;False;404;0
410;104.37179088913676;1.0;3.22;1.12;0.45;89.21;206.50865196831717;False;False;False;False;True;False;False;True;False;False;True;False;411;0
412;47.58;3.0;4.13;0.8;0.31;105.33;74.8463;False;False;True;False;True;False;False;True;False;True;False;False;413;0
383;44.0;3.0;4.99;1.2;0.46;41.76;76.9996;False;False;True;False;True;False;False;True;False;True;False;False;384;0
308;39.96;4.0;3.89;1.0;0.2;9.66;45.782;True;False;False;False;True;False;False;True;False;True;False;False;309;0
355;32.48;3.0;4.29;0.99;0.27;19.3;41.65619999999999;False;True;False;False;True;False;False;True;False;True;False;False;356;0
462;37.56;4.0;3.22;1.93;0.15;56.81;84.23230000000001;False;False;True;False;True;False;False;True;False;False;False;False;463;0
459;6.82;2.0;4.43;1.93;0.12;103.11;29.965799999999994;True;False;False;False;True;False;False;True;False;False;False;False;460;0
466;15.0;3.0;4.72;1.76;0.21;73.07;46.46469999999999;False;False;False;True;True;False;False;True;False;False;False;True;467;0
464;48.15;2.0;3.45;0.95;0.34;69.03;72.6627;False;False;False;True;True;False;False;True;False;True;False;False;465;0
265;37.3;3.0;4.21;1.86;0.35;97.47;107.7025;False;False;True;False;True;False;False;True;False;False;False;True;266;0
423;25.23;3.0;3.94;1.35;0.13;100.22;51.0291;False;False;True;False;True;False;False;True;False;False;True;False;424;0
288;15.04;1.0;5.0;1.78;0.11;15.09;33.4311;False;False;True;False;True;False;False;True;False;True;False;False;289;0
454;6.45;2.0;2.13;1.73;0.46;44.01;33.5331;False;False;True;False;True;False;False;True;False;True;False;False;455;0
256;46.87;4.0;3.89;1.76;0.2;31.51;92.6832;False;False;True;False;True;False;False;True;False;True;False;False;257;0
257;35.11;3.0;3.29;1.36;0.45;42.67;70.2411;True;False;False;False;True;False;False;True;False;False;True;False;258;0
255;28.28;2.0;3.15;1.17;0.4;103.28;77.5496;True;False;False;False;True;False;False;True;False;False;True;False;256;0
453;45.41;2.0;3.85;0.51;0.12;69.95;35.4031;True;False;False;False;True;False;False;True;False;True;False;False;454;0
474;26.86;4.0;2.87;1.32;0.31;54.4;55.1892;True;False;False;False;True;False;False;True;False;True;False;False;475;0
469;48.2;3.0;4.48;1.21;0.46;12.68;68.63480000000001;False;False;False;False;True;False;False;True;False;True;False;False;470;0
486;3.23;2.0;3.7;1.14;0.41;48.24;27.1606;True;False;False;False;True;False;False;True;False;False;True;False;487;0
478;48.5;1.0;3.61;1.66;0.39;79.03;114.9417;False;True;False;False;True;False;False;True;False;True;False;False;479;0
491;31.39;1.0;3.63;0.86;0.19;28.43;36.0271;True;False;False;False;True;False;False;True;False;True;False;False;492;0
496;29.6;2.0;3.51;1.5;0.18;24.02;52.2336;True;False;False;False;True;False;False;True;False;True;False;False;497;0
499;49.32;1.0;2.45;1.43;0.14;112.17;88.6814;False;True;False;False;True;False;False;True;False;True;False;False;500;0
505;8.97;1.0;4.89;1.07;0.25;44.17;25.5304;True;False;False;False;True;False;False;True;False;True;False;False;506;0
510;31.06;4.0;4.41;0.88;0.44;37.97;48.4496;False;True;False;False;True;False;False;True;False;True;False;False;511;0
227;20.26;3.0;2.29;0.63;0.27;29.7;23.0728;False;False;True;False;True;False;False;True;False;False;True;False;228;0
521;19.66;2.0;4.56;1.73;0.44;105.23;84.873;False;False;False;True;True;False;False;True;False;True;False;False;522;0
532;139.476514583775;1.0;4.37;1.38;0.2;46.85;296.0886973121837;False;True;False;False;True;False;False;True;False;True;False;False;533;0
223;19.02;2.0;2.42;1.14;0.4;49.68;43.9748;False;False;False;True;True;False;False;True;False;False;False;False;224;0
226;48.68;4.0;2.59;1.01;0.14;51.44;58.9584;True;False;False;False;True;False;False;True;False;False;True;False;227;0
217;37.58;4.0;2.91;1.16;0.47;84.52;86.22719999999998;True;False;False;False;True;False;False;True;False;False;False;True;218;0
219;42.61;3.0;2.43;0.94;0.49;62.01;72.86829999999999;False;False;True;False;True;False;False;True;False;False;True;False;220;0
557;2.41;2.0;3.47;0.87;0.19;31.26;11.5061;False;False;False;False;True;False;False;True;False;True;False;False;558;0
546;6.56;4.0;2.32;1.59;0.38;50.68;32.0088;False;True;False;False;True;False;False;True;False;True;False;False;547;0
570;26.19;1.0;4.85;1.05;0.27;106.96;61.2287;True;False;False;False;True;False;False;True;False;False;False;False;571;0
599;3.0;2.0;4.62;1.83;0.33;48.49;26.111700000000003;False;True;False;False;True;False;False;True;False;True;False;False;600;0
312;2.24;1.0;4.46;0.52;0.14;102.26;19.9412;True;False;False;False;True;False;False;True;False;True;False;False;313;0
329;13.14;3.0;3.6;1.11;0.14;35.14;23.105000000000004;False;False;False;False;True;False;False;True;False;True;False;False;330;0
341;24.2;1.0;2.43;0.75;0.28;103.17;49.4676;True;False;False;False;True;False;False;True;False;False;False;True;342;0
23;18.95;1.0;3.38;0.78;0.39;54.04;39.2366;False;False;False;True;True;False;False;True;False;True;False;False;24;0
980;17.38;2.0;3.78;1.01;0.1;17.91;23.1248;False;False;True;False;True;False;False;True;False;False;True;False;981;0
30;30.77;1.0;3.64;1.33;0.13;109.6;58.8121;False;False;True;False;True;False;False;True;False;True;False;False;31;0
987;22.31;2.0;3.15;1.94;0.31;26.43;54.6247;True;False;False;False;True;False;False;True;False;True;False;False;988;1
831;23.17;2.0;4.15;1.79;0.35;93.07;78.1988;True;False;False;False;True;False;False;True;False;True;False;False;832;1
16;15.91;4.0;4.42;1.77;0.21;114.93;56.716;False;False;True;False;True;False;False;True;False;True;False;False;17;1
294;7.23;1.0;3.51;1.2;0.39;55.29;33.7491;False;True;False;False;True;False;False;True;False;True;False;False;295;1
37;5.79;4.0;4.63;1.83;0.24;107.07;40.9225;False;True;False;False;True;False;False;True;False;True;False;False;38;1
3;30.33;4.0;3.48;0.51;0.15;116.81;36.4698;False;True;False;False;True;False;False;True;False;False;False;False;4;1
948;43.82;4.0;2.19;1.48;0.15;42.17;73.3691;True;False;False;False;True;False;False;True;False;True;False;False;949;1
918;38.42;1.0;4.29;0.63;0.4;65.68;54.76660000000001;True;False;False;False;True;False;False;True;False;True;False;False;919;1
898;1.64;3.0;3.32;1.53;0.44;61.16;32.7396;True;False;False;False;True;False;False;True;False;True;False;False;899;1
880;12.32;3.0;3.8;1.15;0.31;6.37;19.9427;True;False;False;False;True;False;False;True;False;True;False;False;881;1
767;43.96;2.0;2.29;1.08;0.25;37.22;59.0718;False;False;False;False;True;False;False;True;False;True;False;False;768;1
779;32.42;4.0;2.58;1.41;0.11;14.18;49.852;False;True;False;False;True;False;False;True;False;True;False;False;780;1
739;19.47;2.0;4.68;1.15;0.16;84.35;40.56649999999999;False;False;False;False;True;False;False;True;False;True;False;False;740;1
597;9.44;1.0;4.56;0.57;0.18;14.92;12.6264;False;False;True;False;True;False;False;True;False;True;False;False;598;1
864;20.64;3.0;3.37;1.22;0.31;37.76;40.2564;False;False;False;True;True;False;False;True;False;True;False;False;865;1
908;13.71;3.0;3.54;0.76;0.3;27.87;22.3206;True;False;False;False;True;False;False;True;False;True;False;False;909;1
58;3.22;3.0;2.83;1.63;0.31;93.78;37.1504;True;False;False;False;True;False;False;True;False;False;True;False;59;1
896;15.36;1.0;3.49;0.74;0.34;6.06;16.9168;True;False;False;False;True;False;False;True;False;True;False;False;897;1
919;7.87;2.0;3.52;1.57;0.16;64.51;26.1975;True;False;False;False;True;False;False;True;False;True;False;False;920;1
42;2.69;4.0;4.6;1.95;0.34;97.49;42.9921;True;False;False;False;True;False;False;True;False;True;False;False;43;1
719;36.81;2.0;2.45;1.87;0.39;19.66;78.95210000000002;False;False;True;False;True;False;False;True;False;True;False;False;720;1
716;41.7;2.0;2.46;1.35;0.33;66.74;80.7792;False;False;False;False;True;False;False;True;False;True;False;False;717;1
752;31.76;3.0;3.01;0.9;0.1;33.58;34.952;False;False;True;False;True;False;False;True;False;True;False;False;753;1
155;12.86;1.0;2.39;1.13;0.4;56.62;39.5698;False;True;False;False;True;False;False;True;False;True;False;False;156;1
604;6.91;3.0;2.38;0.89;0.42;20.57;17.1693;False;False;True;False;True;False;False;True;False;True;False;False;605;1
176;34.86;4.0;3.74;1.45;0.4;21.52;62.895;False;True;False;False;True;False;False;True;False;True;False;False;177;1
810;49.26;4.0;3.09;1.95;0.29;35.46;109.4304;True;False;False;False;True;False;False;True;False;True;False;False;811;1
857;24.13;1.0;3.37;1.92;0.31;23.71;57.0497;True;False;False;False;True;False;False;False;False;False;False;True;858;1
828;37.14;3.0;3.4;0.78;0.45;43.84;52.0972;False;True;False;False;True;False;False;True;False;True;False;False;829;1
281;17.56;1.0;3.22;1.22;0.11;103.66;36.0458;False;True;False;False;True;False;False;True;False;True;False;False;282;1
526;21.33;1.0;4.62;0.56;0.43;69.89;46.61750000000001;False;False;True;False;True;False;False;True;False;True;False;False;527;1
245;46.49;3.0;4.08;1.99;0.34;63.05;118.0321;True;False;False;False;True;False;False;True;False;True;False;False;246;1
518;49.38;1.0;3.64;1.03;0.28;9.47;57.153000000000006;False;False;True;False;True;False;False;True;False;True;False;False;519;1
513;43.44;1.0;3.51;0.79;0.19;11.01;39.9195;False;False;True;False;True;False;False;True;False;True;False;False;514;1
298;31.52;1.0;4.89;0.65;0.19;19.55;29.0925;False;False;False;False;True;False;False;True;False;True;False;False;299;1
709;34.39;4.0;2.15;1.69;0.16;72.05;71.7971;False;False;False;False;True;False;False;True;False;True;False;False;710;1
457;23.96;3.0;3.11;1.52;0.43;102.92;83.7848;True;False;False;False;True;False;False;False;False;True;False;False;458;2
28;30.03;1.0;3.31;1.05;0.36;83.21;64.7971;False;False;False;False;True;False;True;False;False;True;False;False;29;2
559;31.4;3.0;4.5;1.87;0.32;28.13;72.2196;False;False;False;True;True;False;False;False;False;True;False;False;560;2
29;3.28;2.0;2.88;1.76;0.2;78.04;24.260800000000003;False;True;False;False;True;False;False;False;True;True;False;False;30;2
362;23.45;1.0;2.02;1.94;0.1;104.02;57.915;True;False;False;False;True;False;False;False;False;True;False;False;363;2
259;5.76;2.0;2.93;0.93;0.18;61.57;19.3694;True;False;False;False;True;False;True;False;False;False;False;True;260;2
131;11.88;1.0;3.75;0.71;0.34;30.47;22.544600000000003;True;False;False;False;True;False;False;False;False;False;False;False;132;2
272;43.49;1.0;2.77;1.45;0.2;68.97;79.6245;False;True;False;False;True;False;False;True;False;True;False;False;273;2
677;20.49;1.0;2.51;1.66;0.39;96.76;74.2598;True;False;False;False;True;False;True;False;False;True;False;False;678;2
707;40.68;3.0;3.01;1.11;0.12;84.0;58.2448;False;False;True;False;True;False;False;False;False;True;False;False;708;2
663;12.62;3.0;3.12;1.55;0.29;47.38;36.4212;True;False;False;False;True;False;False;False;False;True;False;False;664;2
894;33.74;4.0;4.97;0.92;0.42;48.47;56.3682;True;False;False;False;True;False;True;False;False;False;True;False;895;2
827;18.0;1.0;3.23;1.61;0.46;28.92;45.513200000000005;False;False;False;True;True;False;False;False;False;True;False;False;828;2
193;32.02;2.0;3.78;1.7;0.34;6.39;60.38660000000001;True;False;False;False;True;False;False;False;False;True;False;False;194;2
877;33.29;3.0;4.48;1.1;0.19;52.09;50.996100000000006;True;False;False;False;True;False;True;False;False;True;False;False;878;3
945;1.54;3.0;3.62;1.56;0.38;10.13;9.8718;True;False;False;False;True;False;True;False;False;True;False;False;946;3
941;28.15;2.0;2.06;0.61;0.18;17.02;22.2951;True;False;False;False;True;False;True;False;False;True;False;False;942;3
811;42.11;1.0;3.57;1.29;0.21;45.23;67.3902;False;True;False;False;True;False;True;False;False;True;False;False;812;3
824;27.33;4.0;2.24;0.6;0.13;25.97;22.0141;True;False;False;False;True;False;True;False;False;True;False;False;825;3
837;18.76;2.0;2.57;0.9;0.29;117.24;53.4536;True;False;False;False;True;False;True;False;False;True;False;False;838;3
804;21.78;4.0;3.15;0.56;0.12;91.02;26.2692;True;False;False;False;True;False;False;False;False;True;False;False;805;3
793;30.96;2.0;2.96;1.24;0.18;69.98;53.9468;True;False;False;False;True;False;True;False;False;True;False;False;794;3
203;45.03;1.0;2.76;0.95;0.24;32.28;53.2857;True;False;False;False;True;False;True;False;False;True;False;False;204;3
616;138.76388715029725;2.0;3.98;1.71;0.39;74.32;332.0436886774302;False;False;False;True;True;False;True;False;False;True;False;False;617;3
635;22.92;3.0;2.31;1.61;0.13;68.51;48.11750000000001;False;False;True;False;True;False;False;False;False;True;False;False;636;3
769;41.24;1.0;3.91;1.03;0.38;38.26;60.92600000000001;True;False;False;False;True;False;True;False;False;True;False;False;770;3
715;46.55;3.0;4.41;1.42;0.3;42.88;83.375;False;False;False;True;True;False;True;False;False;True;False;False;716;3
756;31.38;4.0;3.86;0.58;0.2;32.85;28.6304;False;False;False;True;True;False;True;False;False;True;False;False;757;3
723;37.31;2.0;3.1;0.95;0.46;35.63;54.9343;False;False;True;False;True;False;True;False;False;True;False;False;724;3
700;27.1;3.0;4.11;1.05;0.18;113.75;53.040000000000006;False;False;False;False;True;False;True;False;False;True;False;False;701;3
771;42.48;4.0;4.79;1.95;0.14;65.02;96.7288;False;True;False;False;True;False;True;False;False;True;False;False;772;3
933;26.76;2.0;3.55;0.82;0.44;38.42;42.398;True;False;False;False;True;False;True;False;False;True;False;False;934;3
284;29.34;2.0;2.05;1.59;0.48;70.14;82.3678;True;False;False;False;True;False;True;False;False;True;False;False;285;3
416;15.37;1.0;4.95;1.07;0.37;64.12;45.1203;False;False;True;False;True;False;False;False;False;True;False;False;417;3
458;3.76;4.0;4.31;1.55;0.16;75.06;22.1476;False;False;True;False;True;False;False;False;False;True;False;False;459;3
279;39.99;2.0;2.71;0.58;0.31;43.98;39.538;True;False;False;False;True;False;True;False;False;True;False;False;280;3
224;13.99;4.0;2.39;1.39;0.46;104.56;69.9337;True;False;False;False;True;False;False;False;False;True;False;False;225;3
563;1.71;3.0;3.72;1.67;0.17;50.16;15.1029;False;False;True;False;True;False;False;False;False;True;False;False;564;3
441;49.35;2.0;2.7;1.8;0.36;49.86;109.4796;False;False;True;False;True;False;False;False;False;True;False;False;442;3
405;44.88;1.0;3.87;0.58;0.5;77.08;68.4404;True;False;False;False;True;False;False;False;True;True;False;False;406;3
345;31.18;1.0;2.71;0.79;0.35;89.23;58.5727;True;False;False;False;True;False;False;False;True;True;False;False;346;3
373;34.47;1.0;4.49;1.01;0.46;5.5;41.834700000000005;True;False;False;False;True;False;True;False;False;True;False;False;374;3
26;10.78;3.0;3.92;0.54;0.33;56.07;28.2443;False;True;False;False;False;False;True;False;False;False;True;False;27;3
347;3.22;1.0;4.21;1.17;0.3;80.58;32.151399999999995;True;False;False;False;True;False;False;False;True;True;False;False;348;3
992;14.34;1.0;3.23;1.01;0.29;45.07;30.7837;True;False;False;False;True;False;False;False;True;True;False;False;993;4
342;9.49;1.0;2.28;0.68;0.13;32.82;12.9998;False;True;False;False;True;False;False;False;True;True;False;False;343;4
932;49.24;2.0;4.64;0.79;0.13;85.63;54.67150000000001;True;False;False;False;True;False;False;False;True;True;False;False;933;4
931;41.91;2.0;4.82;1.19;0.34;26.72;63.7777;True;False;False;False;True;False;False;False;True;True;False;False;932;4
930;7.83;4.0;4.16;0.93;0.18;99.63;29.3753;True;False;False;False;True;False;False;False;True;True;False;False;931;4
923;40.19;1.0;2.79;1.12;0.1;51.19;52.9218;True;False;False;False;True;False;False;False;True;True;False;False;924;4
63;18.48;4.0;2.84;1.37;0.39;106.41;69.6575;True;False;False;False;True;False;False;False;True;True;False;False;64;4
59;16.94;3.0;3.92;1.93;0.42;100.24;78.715;True;False;False;False;True;False;False;False;True;False;False;True;60;4
55;46.17;4.0;4.13;1.57;0.28;83.15;99.8989;True;False;False;False;True;False;False;False;True;True;False;False;56;4
914;28.05;1.0;2.6;1.23;0.15;58.8;45.9215;True;False;False;False;True;False;False;False;True;True;False;False;915;4
882;1.97;1.0;2.08;1.98;0.37;71.48;32.428200000000004;True;False;False;False;True;False;False;False;True;True;False;False;883;4
879;11.88;2.0;4.67;0.63;0.27;39.27;22.7573;True;False;False;False;True;False;False;False;True;True;False;False;880;4
68;4.65;1.0;4.51;1.08;0.43;56.54;33.8442;True;False;False;False;True;False;False;False;True;False;False;False;69;4
64;146.0670471598387;2.0;4.79;0.73;0.3;60.81;320.958663578238;True;False;False;False;True;False;False;False;True;True;False;False;65;4
863;22.6;1.0;3.41;1.77;0.28;27.31;51.058800000000005;True;False;False;False;True;False;False;False;True;True;False;False;864;4
861;23.21;4.0;3.4;1.18;0.15;100.48;45.85979999999999;True;False;False;False;True;False;False;False;True;True;False;False;862;4
